a,b,op,c,d,real,imaginary
18,47,3,42,74,0.584806629834254,0.0886740331491713
36,93,0,69,60,105,153
84,20,3,73,40,1.00043296290951,-0.274209842690143
91,29,3,45,89,0.671224612909712,-0.683088678865876
90,40,3,11,50,1.14078595955742,-1.54902708889737
79,46,2,64,6,4780,3418
56,17,3,17,61,0.496009975062344,-0.779800498753117
13,65,1,84,42,-71,23
42,28,3,54,37,0.771061843640607,-0.00980163360560093
72,84,1,61,24,11,60
43,46,2,43,90,-2291,5848
22,18,0,67,77,89,95
29,76,3,99,9,0.359744990892532,0.734972677595628
43,66,0,90,52,133,118
47,90,1,33,60,14,30
91,96,3,59,5,1.66828294352539,1.48573873359954
55,77,2,38,47,-1529,5511
44,68,2,43,11,1144,3408
3,55,2,27,38,-2009,1599
21,3,1,20,31,1,-28
4,66,2,7,94,-6176,838
17,87,2,21,87,-7212,3306
57,50,1,68,70,-11,-20
87,55,0,89,74,176,129
22,69,3,91,88,0.50383775351014,0.271014040561622
35,67,0,97,66,132,133
36,58,0,39,72,75,130
7,63,2,67,94,-5453,4879
82,49,0,61,76,143,125
11,64,1,65,27,-54,37
80,28,2,32,31,1692,3376
30,61,2,72,90,-3330,7092
48,27,2,90,92,1836,6846
93,2,3,55,68,0.686494966662309,-0.812393776964309
67,74,3,13,46,1.87089715536105,-0.927789934354486
71,89,3,0,49,1.81632653061225,-1.44897959183673
57,81,2,48,78,-3582,8334
95,0,1,97,5,-2,-5
64,66,0,0,13,64,79
66,66,2,12,29,-1122,2706
59,4,3,58,2,1.01840855106888,0.0338479809976247
83,47,1,62,13,21,34
0,86,1,95,0,-95,86
45,27,2,45,11,1728,1710
92,91,2,27,66,-3522,8529
26,9,1,74,81,-48,-72
28,31,3,25,23,1.22443674176776,0.113518197573657
65,7,1,38,24,27,-17
13,18,1,20,4,-7,14
63,81,3,22,47,1.92833271444486,-0.437801708132195
4,41,2,2,54,-2206,298
46,18,2,96,35,3786,3338
69,37,0,28,74,97,111
85,2,2,87,87,7221,7569
79,89,0,64,93,143,182
15,90,0,13,36,28,126
74,18,2,21,68,330,5410
74,4,1,64,23,10,-19
29,17,2,13,11,190,540
66,49,3,76,20,0.970854922279793,0.389248704663212
2,2,1,41,0,-39,2
24,1,1,78,78,-54,-77
97,40,0,59,61,156,101
17,26,3,37,96,0.295229097779877,-0.0632971185640057
88,29,0,97,65,185,94
26,85,2,47,32,-1498,4827
10,18,1,26,98,-16,-80
88,9,0,51,79,139,88
48,57,2,35,5,1395,2235
99,78,1,68,69,31,9
31,68,3,11,23,2.93076923076923,0.0538461538461539
60,60,3,77,16,0.902182700080841,0.591754244139046
83,51,0,12,53,95,104
47,79,3,88,31,0.756461803561172,0.631246410109133
48,71,3,38,4,1.44383561643836,1.71643835616438
36,86,1,31,66,5,20
40,3,2,88,14,3478,824
53,77,2,11,37,-2266,2808
22,39,3,7,36,1.15836431226766,-0.385873605947955
5,47,1,41,90,-36,-43
4,41,3,81,39,0.237936154417223,0.391610987379362
23,97,2,15,19,-1498,1892
26,25,2,32,94,-1518,3244
90,27,0,68,19,158,46
65,1,1,5,55,60,-54
67,79,2,97,9,5788,8266
77,76,0,43,91,120,167
64,10,1,3,61,61,-51
99,44,3,55,38,1.5925262922354,-0.300290892817185
83,92,2,47,64,-1987,9636
40,70,1,0,44,40,26
85,25,2,98,89,6105,10015
43,71,0,1,91,44,162
26,81,0,26,43,52,124
98,19,2,36,84,1932,8916
79,67,1,53,21,26,46
26,1,3,72,44,0.269101123595506,-0.150561797752809
13,28,1,70,25,-57,3
79,42,2,81,96,2367,10986
12,41,3,78,19,0.266097750193949,0.460822342901474
83,33,3,63,83,0.733836802357709,-0.442991342788727
48,93,1,19,22,29,71
35,87,1,65,0,-30,87
74,67,1,41,32,33,35
52,26,0,18,43,70,69
23,46,0,45,81,68,127
94,31,1,53,7,41,24
82,20,1,84,66,-2,-46
76,18,2,74,98,3860,8780
85,57,2,12,37,-1089,3829
66,99,1,32,6,34,93
12,95,3,16,79,1.18470063106049,0.0880406341388333
25,24,3,79,83,0.302132520944402,-0.0136329017517136
55,44,2,13,66,-2189,4202
30,15,2,13,34,-120,1215
87,30,3,52,78,0.781065088757396,-0.594674556213018
47,4,3,92,12,0.507899628252788,-0.0227695167286245
35,58,0,75,79,110,137
65,35,1,20,53,45,-18
91,34,1,42,38,49,-4
73,39,1,47,83,26,-44
59,85,0,49,60,108,145
91,15,3,20,12,3.67647058823529,-1.45588235294118
52,93,1,61,93,-9,0
96,15,3,74,30,1.18475533249686,-0.277603513174404
36,16,1,99,50,-63,-34
23,31,1,13,54,10,-23
66,18,3,58,53,0.774663858739673,-0.397537664020735
60,89,2,42,81,-4689,8598
7,87,0,88,96,95,183
44,50,0,33,71,77,121
85,46,0,97,63,182,109
56,30,0,26,64,82,94
28,2,3,74,90,0.165880966411314,-0.174720094284031
89,12,2,75,34,6267,3926
14,51,3,27,15,1.19811320754717,1.22327044025157
86,74,1,5,0,81,74
71,10,3,54,54,0.75,-0.564814814814815
88,87,1,97,77,-9,10
60,55,2,23,27,-105,2885
56,94,1,63,33,-7,61
28,1,1,84,89,-56,-88
58,82,2,46,92,-4876,9108
11,22,3,32,5,0.440419447092469,0.618684461391802
27,31,1,20,57,7,-26
65,86,3,66,50,1.25291715285881,0.353850641773629
51,98,2,74,35,344,9037
62,11,2,78,37,4429,3152
13,84,3,8,95,0.889426779623721,-0.0619430080316867
75,57,3,46,11,1.82253017434063,0.803308001788109
69,96,2,75,0,5175,7200
40,74,3,94,71,0.649564026806947,0.296605894645817
58,85,0,89,4,147,89
43,82,3,44,83,0.985609065155807,0.00441926345609065
11,11,2,62,85,-253,1617
23,13,3,77,56,0.275675675675676,-0.0316602316602317
25,20,0,29,43,54,63
93,74,1,95,61,-2,13
48,1,3,72,60,0.400273224043716,-0.319672131147541
94,14,0,84,86,178,100
69,22,0,23,21,92,43
22,68,2,36,11,44,2690
64,44,3,66,7,1.02883087400681,0.557548240635641
78,77,2,31,45,-1047,5897
15,51,1,53,6,-38,45
90,48,3,7,42,1.45945945945946,-1.8996138996139
27,40,3,42,16,0.878217821782178,0.617821782178218
20,98,1,81,72,-61,26
97,5,1,4,23,93,-18
2,51,3,85,10,0.0928327645051195,0.589078498293515
49,82,3,56,77,0.999227799227799,0.0903474903474903
58,18,0,76,10,134,28
43,60,1,34,96,9,-36
88,14,1,79,70,9,-56
74,70,2,76,26,3804,7244
70,37,0,76,78,146,115
60,14,0,48,23,108,37
67,57,2,39,84,-2175,7851
93,86,2,54,31,2356,7527
20,91,3,83,20,0.477431746467279,0.98134174783921
70,64,2,35,86,-3054,8260
21,38,3,34,53,0.688020176544767,0.0451450189155107
10,75,3,6,54,1.39227642276423,-0.0304878048780488
97,69,1,82,21,15,48
22,32,0,20,91,42,123
36,38,3,84,42,0.523809523809524,0.19047619047619
93,13,2,75,53,6286,5904
63,93,2,78,52,78,10530
55,26,1,80,88,-25,-62
11,83,1,50,63,-39,20
32,31,2,48,19,947,2096
27,42,3,35,28,1.05574912891986,0.355400696864111
38,54,3,43,22,1.20960137162452,0.636948135447921
62,98,1,7,98,55,0
88,61,0,83,94,171,155
90,43,0,46,94,136,137
56,78,3,94,94,0.712765957446808,0.117021276595745
47,70,3,10,95,0.78027397260274,-0.412602739726027
78,35,0,19,85,97,120
49,8,0,83,84,132,92
0,85,3,16,35,2.00877785280216,0.918298446995273
54,81,0,9,99,63,180
16,88,3,50,54,1.02511078286558,0.65288035450517
96,43,0,54,64,150,107
4,94,0,33,41,37,135
19,58,2,96,14,1012,5834
59,42,1,37,51,22,-9
56,97,0,41,4,97,101
3,84,2,35,60,-4935,3120
77,71,1,59,80,18,-9
86,74,1,70,87,16,-13
95,52,2,23,73,-1611,8131
47,94,0,84,75,131,169
44,95,2,76,81,-4351,10784
60,95,2,68,94,-4850,12100
22,26,3,89,6,0.265678019354028,0.274223953751414
78,70,2,47,84,-2214,9842
71,61,1,95,83,-24,-22
0,76,2,4,12,-912,304
86,55,2,2,79,-4173,6904
69,26,2,65,19,3991,3001
29,37,3,98,23,0.36445277805191,0.292016184742919
81,11,1,25,18,56,-7
50,67,2,34,33,-511,3928
21,94,2,39,33,-2283,4359
35,92,1,59,53,-24,39
24,33,2,87,41,735,3855
14,15,1,91,35,-77,-20
54,47,3,7,99,0.510761421319797,-0.509340101522843
16,27,1,92,36,-76,-9
9,96,2,6,82,-7818,1314
72,94,2,58,0,4176,5452
53,81,2,83,81,-2162,11016
3,54,1,95,23,-92,31
24,31,1,0,48,24,-17
5,63,3,99,49,0.293558433043763,0.491067038190461
90,70,3,27,48,1.90900098911968,-0.801186943620178
54,79,1,56,76,-2,3
27,31,1,83,33,-56,-2
55,10,3,40,26,1.08084358523726,-0.452548330404218
28,19,2,43,61,45,2525
27,74,0,54,99,81,173
96,60,3,11,5,9.28767123287671,1.23287671232877
58,69,2,47,48,-586,6027
48,57,0,14,12,62,69
21,45,3,95,81,0.361863210573592,0.16514820993199
65,88,3,86,94,0.85399211434204,0.0898225726959093
4,55,2,25,8,-340,1407
7,57,1,85,10,-78,47
1,98,1,22,74,-21,24
9,0,1,74,31,-65,-31
61,45,1,1,20,60,25
47,33,0,45,22,92,55
88,93,3,10,78,1.3153298835705,-0.959573091849935
64,87,1,91,5,-27,82
69,73,0,23,38,92,111
70,17,2,25,60,730,4625
27,38,0,12,47,39,85
67,14,0,75,70,142,84
38,18,0,16,42,54,60
50,94,1,64,14,-14,80
15,5,3,23,25,0.407279029462738,-0.225303292894281
82,51,0,57,34,139,85
27,46,0,48,98,75,144
0,40,1,78,80,-78,-40
95,96,2,37,39,-229,7257
65,83,3,20,97,0.953308186359466,-0.473544703843409
54,98,1,55,93,-1,5
63,71,3,1,54,1.33596160438807,-1.14192663695578
95,36,0,80,56,175,92
4,62,2,79,7,-118,4926
31,14,1,45,92,-14,-78
16,64,2,65,6,656,4256
56,10,2,32,74,1052,4464
32,72,1,62,15,-30,57
42,90,0,76,42,118,132
73,7,3,76,9,0.95799897558477,-0.0213419839508281
23,76,1,46,63,-23,13
41,34,3,91,50,0.503756608848901,0.0968370281049995
55,61,2,44,15,1505,3509
48,25,2,24,45,27,2760
88,57,2,94,40,5992,8878
80,82,2,41,0,3280,3362
28,59,1,44,9,-16,50
43,47,3,70,14,0.71978021978022,0.527472527472527
78,32,0,50,22,128,54
99,43,0,56,49,155,92
84,18,1,95,18,-11,0
19,46,2,97,74,-1561,5868
50,90,2,85,30,1550,9150
55,1,0,66,72,121,73
68,50,1,33,32,35,18
79,29,0,56,63,135,92
31,69,0,10,10,41,79
69,8,3,87,53,0.619290807477356,-0.285315089612642
38,23,3,36,92,0.356967213114754,-0.273360655737705
15,73,0,80,19,95,92
87,49,2,43,31,2222,4804
68,93,3,48,11,1.76783505154639,1.53237113402062
4,47,2,5,1,-27,239
42,40,0,11,47,53,87
81,75,3,69,75,1.07972270363951,-0.0866551126516464
94,81,0,80,86,174,167
26,29,1,78,60,-52,-31
63,85,0,71,75,134,160
65,14,3,79,49,0.673570932654478,-0.240569312659107
10,90,3,2,46,1.9622641509434,-0.132075471698113
77,72,3,92,2,0.853566367501181,0.764052905054322
62,86,1,75,27,-13,59
64,70,0,41,2,105,72
74,8,0,28,55,102,63
77,49,1,77,89,0,-40
82,75,3,34,53,1.70567465321564,-0.45296343001261
29,35,1,85,34,-56,1
73,37,1,17,90,56,-53
91,7,3,29,19,2.30615640599002,-1.26955074875208
50,8,0,99,94,149,102
33,8,0,89,15,122,23
10,87,0,63,12,73,99
70,15,0,19,77,89,92
45,45,3,59,21,0.917899031106578,0.436002039775625
19,61,3,36,97,0.616627744044839,0.0329752452125175
9,36,0,25,57,34,93
0,2,3,79,76,0.012648747607556,0.0131480402762753
11,81,2,40,60,-4420,3900
55,52,1,18,12,37,40
46,24,0,88,97,134,121
43,11,0,47,84,90,95
42,8,1,70,82,-28,-74
90,26,1,32,37,58,-11
56,89,3,56,35,1.43338683788122,0.693418940609952
9,47,3,56,36,0.495487364620939,0.520758122743682
52,57,2,89,56,1436,7985
52,91,2,58,8,2288,5694
97,43,0,38,87,135,130
69,80,1,52,28,17,52
51,18,2,64,32,2688,2784
22,69,3,75,51,0.62837345003647,0.492706053975201
48,29,3,44,73,0.582105987611838,-0.306675843083276
18,70,3,34,57,1.04472190692395,0.307377979568672
3,23,0,77,66,80,89
84,3,2,3,52,96,4377
5,92,1,35,60,-30,32
54,6,3,45,19,1.06621961441744,-0.316848281642917
30,49,2,52,38,-302,3688
91,72,3,43,84,1.11858506457047,-0.510724312184166
51,86,0,45,50,96,136
19,78,0,94,99,113,177
98,23,3,52,39,1.41846153846154,-0.621538461538461
66,39,2,20,50,-630,4080
46,38,2,88,44,2376,5368
88,84,2,31,22,880,4540
64,44,1,64,38,0,6
4,74,1,58,10,-54,64
84,7,1,85,70,-1,-63
77,88,0,5,93,82,181
36,56,1,0,30,36,26
45,37,1,2,90,43,-53
93,27,3,33,6,2.872,0.296
29,60,1,93,16,-64,44
99,32,0,22,46,121,78
83,80,2,40,43,-120,6769
28,50,1,38,91,-10,-41
42,87,0,57,65,99,152
48,23,2,55,97,409,5921
32,30,3,78,62,0.438759065269944,0.0358581788879935
22,4,0,85,66,107,70
98,75,2,3,89,-6381,8947
71,44,3,56,98,0.650549450549451,-0.352747252747253
21,97,2,19,35,-2996,2578
28,27,3,44,49,0.589116901083698,-0.0424256398432096
31,91,3,17,38,2.29948066935949,0.212925562608194
64,90,0,38,63,102,153
78,13,1,58,92,20,-79
7,79,1,5,16,2,63
87,99,3,89,28,1.20792647903504,0.732337736932797
17,7,0,38,57,55,64
80,94,1,80,58,0,36
48,69,3,61,25,1.07063966866084,0.692360791532444
38,86,1,96,63,-58,23
49,63,2,25,75,-3500,5250
15,18,2,50,80,-690,2100
75,45,3,89,42,0.88435725348477,0.0882808466701084
74,4,3,5,21,0.974248927038627,-3.29184549356223
58,15,2,20,11,995,938
53,13,1,10,73,43,-60
80,65,1,15,65,65,0
50,30,2,18,5,750,790
41,73,3,44,6,1.1369168356998,1.50405679513185
59,38,0,80,23,139,61
99,18,3,69,1,1.4382612347753,0.24002519949601
45,90,3,99,80,0.719400037034751,0.327757545830504
73,8,0,51,59,124,67
78,38,1,68,98,10,-60
88,29,0,78,67,166,96
3,23,3,22,51,0.40162074554295,0.114424635332253
54,83,0,66,1,120,84
23,21,0,63,17,86,38
83,52,1,2,37,81,15
90,17,3,57,93,0.564044377206253,-0.622037317196167
47,46,0,17,72,64,118
31,71,1,28,73,3,-2
55,26,3,88,18,0.657907783837382,0.160882498760535
19,93,0,0,16,19,109
26,9,1,46,20,-20,-11
89,26,3,92,16,0.986697247706422,0.111009174311927
92,16,0,27,19,119,35
78,58,1,27,62,51,-4
69,77,0,25,41,94,118
73,34,0,95,45,168,79
44,80,0,42,78,86,158
3,82,1,52,98,-49,-16
76,81,0,45,96,121,177
60,95,0,42,11,102,106
91,24,1,6,21,85,3
95,36,1,77,6,18,30
55,74,3,65,48,1.0915913616174,0.332363302190228
57,65,1,52,68,5,-3
2,48,0,95,39,97,87
5,4,0,54,59,59,63
62,62,3,28,29,2.17476923076923,-0.0381538461538462
90,14,2,67,36,5526,4178
36,86,2,96,33,618,9444
25,47,0,53,8,78,55
21,80,1,91,59,-70,21
42,30,2,81,50,1902,4530
44,68,1,42,73,2,-5
1,59,0,13,12,14,71
27,49,2,72,49,-457,4851
8,15,2,59,20,172,1045
68,51,3,70,7,1.03394625176803,0.625176803394625
14,7,1,30,93,-16,-86
97,17,1,5,99,92,-82
45,97,1,42,64,3,33
44,61,0,71,0,115,61
50,92,0,65,21,115,113
38,74,0,15,41,53,115
96,41,1,87,55,9,-14
27,2,3,94,12,0.285300668151448,-0.0151447661469933
65,96,0,54,22,119,118
83,77,3,14,78,1.14140127388535,-0.859235668789809
80,73,3,83,91,0.875609756097561,-0.0804878048780488
31,83,2,11,48,-3643,2401
10,31,2,58,30,-350,2098
6,28,0,44,50,50,78
31,82,2,14,14,-714,1582
30,51,3,86,23,0.473564668769716,0.466372239747634
83,37,2,80,12,6196,3956
80,39,0,95,79,175,118
19,89,3,96,17,0.351078379800105,0.864913203577065
58,83,0,77,82,135,165
26,98,0,25,33,51,131
59,67,0,18,41,77,108
75,59,0,79,67,154,126
3,24,1,12,86,-9,-62
94,11,2,88,94,7238,9804
34,10,3,74,15,0.467637256621645,0.0403437993334503
32,34,2,84,64,512,4904
56,58,0,89,26,145,84
37,35,0,69,83,106,118
76,39,2,65,23,4043,4283
95,55,0,87,21,182,76
31,5,0,52,43,83,48
70,10,3,31,61,0.593763348996155,-0.84579239641179
32,93,1,22,89,10,4
78,56,2,1,23,-1210,1850
37,58,0,18,2,55,60
2,45,3,65,82,0.348890309617317,0.252169147867385
14,90,2,91,44,-2686,8806
69,85,3,77,65,1.06736261571794,0.202875714004333
51,77,3,82,96,0.726097867001255,0.0889585947302384
11,32,2,1,7,-213,109
27,27,1,50,21,-23,6
4,65,3,80,90,0.42551724137931,0.333793103448276
1,26,3,7,75,0.344906591469862,0.0188579485371872
12,80,1,38,60,-26,20
98,41,3,73,59,1.08660612939841,-0.316572077185017
66,57,1,7,9,59,48
29,95,3,67,53,0.956152370512469,0.661551109893121
17,60,0,2,48,19,108
63,98,2,32,29,-826,4963
44,9,0,59,83,103,92
11,31,1,40,47,-29,-16
90,35,0,71,35,161,70
50,92,3,54,22,1.38941176470588,1.13764705882353
11,59,1,76,72,-65,-13
5,77,1,92,35,-87,42
59,96,1,42,80,17,16
1,90,0,10,54,11,144
82,39,0,24,40,106,79
98,11,0,75,13,173,24
27,87,3,21,51,1.64497041420118,0.14792899408284
51,57,0,67,60,118,117
62,59,0,22,63,84,122
63,93,3,54,89,1.07769677955154,-0.0539817292608656
67,50,1,2,95,65,-45
41,8,0,53,64,94,72
62,45,2,1,44,-1918,2773
94,20,3,65,51,1.04453559917961,-0.511866393202461
10,20,0,1,7,11,27
16,72,3,30,86,0.804243008678881,0.09450337512054
47,78,0,6,38,53,116
66,14,0,81,4,147,18
47,3,1,4,90,43,-87
80,33,3,45,30,1.56923076923077,-0.312820512820513
49,54,3,71,59,0.782093405303919,0.110654775874208
75,5,3,32,18,1.84718100890208,-0.882789317507418
83,53,3,80,51,1.03799577824686,0.000777691367625819
38,49,3,16,89,0.607680078268314,-0.317720435367494
36,88,0,26,88,62,176
42,85,3,40,15,1.61917808219178,1.51780821917808
86,9,1,52,58,34,-49
75,40,0,63,78,138,118
60,57,3,34,40,1.56748911465893,-0.167634252539913
69,74,1,62,80,7,-6
59,39,0,68,63,127,102
25,94,1,46,44,-21,50
0,18,3,60,2,0.0099889012208657,0.299667036625971
4,21,0,51,97,55,118
4,43,1,23,4,-19,39
57,91,1,43,67,14,24
98,63,3,76,75,1.06771335847733,-0.224717130076309
67,18,1,25,33,42,-15
40,26,1,84,93,-44,-67
73,85,2,47,64,-2009,8667
40,65,2,67,31,665,5595
37,21,1,34,36,3,-15
89,4,2,0,43,-172,3827
46,5,2,43,98,1488,4723
8,49,0,40,21,48,70
98,1,1,75,77,23,-76
21,96,2,82,60,-4038,9132
0,20,2,26,87,-1740,520
25,58,2,53,36,-763,3974
67,28,2,37,19,1947,2309
5,57,3,43,11,0.42741116751269,1.21624365482234
64,17,2,92,32,5344,3612
63,21,2,90,70,4200,6300
59,89,1,80,81,-21,8
19,15,3,16,28,0.696153846153846,-0.280769230769231
63,32,0,40,1,103,33
72,42,0,96,23,168,65
7,61,1,97,68,-90,-7
79,5,2,46,56,3354,4654
56,70,1,39,3,17,67
21,21,2,35,12,483,987
97,55,2,76,79,3027,11843
32,42,2,94,85,-562,6668
56,24,3,72,82,0.503862949277796,-0.240510581121935
59,79,1,99,32,-40,47
92,19,2,91,49,7441,6237
4,12,0,11,0,15,12
87,51,3,70,24,1.33564645726808,0.27063550036523
21,1,3,91,25,0.217381540534471,-0.048731192454525
19,70,2,35,18,-595,2792
82,70,2,97,14,6974,7938
70,46,1,3,37,67,9
47,54,3,29,95,0.658118791810257,-0.293837421447395
60,1,1,33,47,27,-46
31,41,0,58,90,89,131
90,15,1,11,82,79,-67
1,36,3,64,73,0.285623342175066,0.236710875331565
95,6,2,18,66,1314,6378
98,2,0,47,64,145,66
8,82,0,30,38,38,120
1,45,3,99,19,0.0938791576461327,0.436528242471954
49,93,1,44,76,5,17
90,44,1,36,57,54,-13
60,96,0,44,42,104,138
5,71,1,49,81,-44,-10
18,69,3,26,4,1.07514450867052,2.48843930635838
5,1,0,27,91,32,92
92,15,0,5,57,97,72
73,94,3,60,96,1.04588014981273,-0.106741573033708
93,32,1,64,75,29,-43
38,71,1,83,33,-45,38
11,85,3,22,9,1.78230088495575,3.13451327433628
64,13,1,59,91,5,-78
15,20,2,10,88,-1610,1520
71,81,1,2,73,69,8
64,6,3,3,35,0.325769854132901,-1.80064829821718
79,62,2,75,58,2329,9232
64,66,3,91,57,0.831396357328708,0.204509973980919
76,27,1,91,13,-15,14
17,69,1,23,68,-6,1
4,53,2,68,53,-2537,3816
0,94,1,79,23,-79,71
39,17,0,27,75,66,92
35,97,2,67,51,-2602,8284
63,47,1,23,74,40,-27
57,42,2,76,36,2820,5244
5,44,1,84,50,-79,-6
22,98,2,88,91,-6982,10626
79,10,3,82,40,0.826285439692456,-0.281114848630466
3,65,0,38,27,41,92
21,74,3,80,63,0.611630822644421,0.443340727167519
44,69,3,28,37,1.75801207617278,0.141198327914538
37,87,1,31,86,6,1
48,50,0,37,44,85,94
76,97,3,31,90,1.22348526652687,-0.423021741529633
16,5,1,59,71,-43,-66
83,15,0,19,78,102,93
59,87,3,20,72,1.33309455587393,-0.449140401146132
3,37,2,20,39,-1383,857
58,47,3,87,5,0.695417434816961,0.500263365815117
39,32,0,57,4,96,36
8,99,0,49,42,57,141
63,77,1,86,33,-23,44
99,11,3,86,90,0.6133195663397,-0.513939081053175
61,47,1,18,23,43,24
29,47,1,5,17,24,30
58,26,0,96,62,154,88
68,14,0,89,44,157,58
64,22,1,64,14,0,8
87,80,2,18,38,-1474,4746
20,72,3,74,4,0.321922796795339,0.955571740713766
5,60,1,92,23,-87,37
68,97,3,62,45,1.46208894189811,0.503322542170728
54,80,3,3,0,18,26.6666666666667
27,70,1,36,97,-9,-27
41,19,2,14,47,-319,2193
